user_login,user_email,role
testuser1,john.doe1@domain.com,administrator
testuser2,john.doe2@domain.com,administrator
testuser3,john.doe3@domain.com,administrator
testuser4,john.doe4@domain.com,administrator
testuser5,john.doe5@domain.com,administrator
testuser6,john.doe6@domain.com,administrator
testuser7,john.doe7@domain.com,administrator
testuser8,john.doe8@domain.com,administrator
testuser9,john.doe9@domain.com,contributor
testuser10,john.doe10@domain.com,contributor
testuser11,john.doe11@domain.com,contributor
testuser12,john.doe12@domain.com,contributor
testuser13,john.doe13@domain.com,contributor
testuser14,john.doe14@domain.com,contributor
testuser15,john.doe15@domain.com,contributor
testuser16,john.doe16@domain.com,contributor
testuser17,john.doe17@domain.com,contributor
testuser18,john.doe18@domain.com,contributor
testuser19,john.doe19@domain.com,contributor
testuser20,john.doe20@domain.com,administrator
testuser21,john.doe21@domain.com,contributor
testuser22,john.doe22@domain.com,administrator
testuser23,john.doe23@domain.com,contributor
testuser24,john.doe24@domain.com,administrator
testuser25,john.doe25@domain.com,contributor
testuser26,john.doe26@domain.com,administrator
